"ID","Last Name","First Name","Team ID","Team Name","Status","Status Details","Position","Eligible Positions","Image"
"423.p.32676","Herbert","Justin","423.l.807652.t.1","Better Business Burrow","Available","","QB","QB,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/FfhcvyjIAiiXjiBgvCKWNg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08282023/32676.png"
"423.p.27581","Adams","Davante","423.l.807652.t.1","Better Business Burrow","Available","","WR","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/UTwCcrglF9.BGBwncQo1Qg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08142023/27581.1.png"
"423.p.28457","Lockett","Tyler","423.l.807652.t.1","Better Business Burrow","Available","","WR","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/NYan.iJFfM0a3h1aJ_Qb.w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07252023/28457.png"
"423.p.27277","Thielen","Adam","423.l.807652.t.1","Better Business Burrow","Available","","WR","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/eB_EQ1lpxyq3QGcTGyk1mQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07272023/27277.png"
"423.p.30994","Moore","DJ","423.l.807652.t.1","Better Business Burrow","Available","","WR","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/3K7Sh.Q0fLpdyh7g2QD.nA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08082023/30994.png"
"423.p.30972","Barkley","Saquon","423.l.807652.t.1","Better Business Burrow","Available","","RB","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/mfHTfkJ107RvBncwqjnr9A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09102022/30972.1.png"
"423.p.30161","Mixon","Joe","423.l.807652.t.1","Better Business Burrow","Available","","RB","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/cfdDhOMZqqmueQVTfSZszQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08242023/30161.png"
"423.p.34047","White","Rachaad","423.l.807652.t.1","Better Business Burrow","Available","","RB","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/WwOHaEZZDPASCr3MR7iLEw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08182023/34047.png"
"423.p.30259","Kittle","George","423.l.807652.t.1","Better Business Burrow","Available","","TE","TE,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/qMRMOam0S6BlHMtcGHgyfA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212023/30259.png"
"423.p.33500","St. Brown","Amon-Ra","423.l.807652.t.1","Better Business Burrow","Available","","W/R/T","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/CXirFBhtPAiGqvbgR6XBrw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302023/33500.png"
"423.p.34207","Pacheco","Isiah","423.l.807652.t.1","Better Business Burrow","Available","","W/R/T","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/29arnIH.K5qTygOBl31X2w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302023/34207.png"
"423.p.32711","Taylor","Jonathan","423.l.807652.t.1","Better Business Burrow","Available","","W/R/T","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/8ejLdbXywFaqdmY1Tz_XwA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09042023/32711.png"
"423.p.34218","Purdy","Brock","423.l.807652.t.1","Better Business Burrow","Available","","Q/W/R/T","QB,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/5Eu4ilnpA5D4pdAsCsYr_Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212023/34218.png"
"423.p.31424","Edwards","Gus","423.l.807652.t.1","Better Business Burrow","Available","","BN","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/.tqOcfnB1VBA6GIceYgrmw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08222023/31424.png"
"423.p.34112","Ford","Jerome","423.l.807652.t.1","Better Business Burrow","Available","","BN","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/r7SIy6Bq5rr16ZN_Cy5GPg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252023/34112.png"
"423.p.40064","LaPorta","Sam","423.l.807652.t.1","Better Business Burrow","Available","","BN","TE,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/5WaVtIUu5epiyN4sFIDNqw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08112023/40064.png"
"423.p.33966","Olave","Chris","423.l.807652.t.1","Better Business Burrow","Questionable","Q - Concussion","BN","WR,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/cfTIpM7jJj2XbxMrg546fw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232023/33966.png"
"423.p.31934","Mattison","Alexander","423.l.807652.t.1","Better Business Burrow","Available","","BN","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/h.kDk77iCCt84lmPYj4vdA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08242023/31934.png"
"423.p.40075","Charbonnet","Zach","423.l.807652.t.1","Better Business Burrow","Available","","BN","RB,W/R/T,Q/W/R/T","https://s.yimg.com/iu/api/res/1.2/Bim0D0RYmHZXuqqvojiPqQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07252023/40075.png"
